station_id,station_name,timestamp,latitude,longitude,elevation_m,temperature_c,pressure_hpa,relative_humidity_pct,pressure_type,is_injected,scenario_id,scenario_type,target_class,fault_type,injection_magnitude
INM00042111,DEHRADUN,2023-05-15 12:00:00,30.3167,78.0333,682.0,50.5,996.7,33.0,sea_level_pressure,True,SPIKE_DDN_001,spike,sensor_data_anomaly,spike,15.0
INM00042111,DEHRADUN,2023-06-10 00:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-10 03:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-10 06:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-10 09:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-10 12:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-10 15:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-10 18:00:00,,,,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-10 21:00:00,,,,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-11 00:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-11 03:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-11 06:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-11 09:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-11 12:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-11 15:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-11 18:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-11 21:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-12 00:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-12 03:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-12 06:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-12 09:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-12 12:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-12 15:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-12 18:00:00,30.3167,78.0333,682.0,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INM00042111,DEHRADUN,2023-06-12 21:00:00,,,,23.5,997.4,69.0,sea_level_pressure,True,FROZEN_DDN_001,frozen,sensor_data_anomaly,frozen,1.0
INI0000VIJO,JODHPUR,2023-07-05 00:00:00,26.2511,73.0489,218.5,30.6,997.2,76.0,sea_level_pressure,True,DRIFT_JDH_001,drift,sensor_data_anomaly,drift,4.0
INI0000VIJO,JODHPUR,2023-07-05 03:00:00,26.2511,73.0489,218.5,31.78510638297872,998.2,75.0,sea_level_pressure,True,DRIFT_JDH_001,drift,sensor_data_anomaly,drift,4.0
